"rank","code","code_orig","count","source"
"251","i9105p","i9105p","999","https://stats.lineageos.org/"
"252","amami","amami","998","https://stats.lineageos.org/"
"253","kodiak","kodiak","994","https://stats.lineageos.org/"
"254","h850","h850","982","https://stats.lineageos.org/"
"255","i9305","i9305","978","https://stats.lineageos.org/"
"256","us996","us996","977","https://stats.lineageos.org/"
"257","eagle","eagle","960","https://stats.lineageos.org/"
"258","jactivelte","jactivelte","956","https://stats.lineageos.org/"
"259","maguro","maguro","952","https://stats.lineageos.org/"
"260","d2uc","d2uc","921","https://stats.lineageos.org/"
"261","j7y17lte","j7y17lte","914","https://stats.lineageos.org/"
"262","j23g","j23g","906","https://stats.lineageos.org/"
"263","kingdom","kingdom","901","https://stats.lineageos.org/"
"264","Z00ED","Z00ED","892","https://stats.lineageos.org/"
"265","nx569j","nx569j","889","https://stats.lineageos.org/"
"266","greatlte","greatlte","879","https://stats.lineageos.org/"
"267","dragon","dragon","876","https://stats.lineageos.org/"
"268","z2x","z2x","874","https://stats.lineageos.org/"
"269","austin","austin","871","https://stats.lineageos.org/"
"270","h918","h918","862","https://stats.lineageos.org/"
"271","grandneove3g","grandneove3g","842","https://stats.lineageos.org/"
"272","quark","quark","837","https://stats.lineageos.org/"
"273","pollux","pollux","837","https://stats.lineageos.org/"
"274","j7xelte","j7xelte","834","https://stats.lineageos.org/"
"275","lv517","lv517","823","https://stats.lineageos.org/"
"276","a5xelte","a5xeltexx","820","https://stats.lineageos.org/"
"277","sumire","sumire","812","https://stats.lineageos.org/"
"278","aio_row","aio_row","809","https://stats.lineageos.org/"
"279"," "," ","805","https://stats.lineageos.org/"
"280","lt033g","lt033g","803","https://stats.lineageos.org/"
"281","SULTAN","SULTAN","802","https://stats.lineageos.org/"
"282","viennalte","viennalte","801","https://stats.lineageos.org/"
"283","marmite","marmite","782","https://stats.lineageos.org/"
"284","z2plus","z2plus","777","https://stats.lineageos.org/"
"285","zerolte","zeroltexx","776","https://stats.lineageos.org/"
"286","oce","oce","774","https://stats.lineageos.org/"
"287","sakura","sakura","768","https://stats.lineageos.org/"
"288","leo","leo","762","https://stats.lineageos.org/"
"289","v2awifi","v2awifi","762","https://stats.lineageos.org/"
"290","hltekor","hltekor","758","https://stats.lineageos.org/"
"291","gts210wifi","gts210wifi","755","https://stats.lineageos.org/"
"292","albus","albus","739","https://stats.lineageos.org/"
"293","z2row","z2row","737","https://stats.lineageos.org/"
"294","hm_note_1w","hm_note_1w","735","https://stats.lineageos.org/"
"295","scale","scale","732","https://stats.lineageos.org/"
